ticker	sector	target.price	price	DivGrow	EpsCgrow	EpsGrow	CashFlowGrow	SalesGrow	PE	PE5yr	price.book	price.sales	price.sales5yr	yield	yield5yr
SWY	Services	0.93	25.9	20.4	2.5	3.6	22.6	0.9	13.4	11.8	1.95	0.15	0.19	3.1	2.2
FLS	CapGood	0.99	55.79	19.1	13.9	13.9	2.2	4.8	18	11.8	4.62	1.64	1.23	1	1.2
UGI	Utilities	1.12	39.2	8	-1.6	-1.6	8.7	3.5	16.5	11.9	1.79	0.63	0.49	2.9	3.3
HP	Energy	1.02	63.04	9.2	4.2	4.5	18.8	14.1	9.6	12	1.56	2	2.18	3.2	0.5
SFG	Finance	0.92	52.32	5.3	-6.2	-6.2	-1.3	1.4	12.4	12	1.11	0.81	0.61	1.8	2.3
FLIC	Finance	1.04	36.83	10.6	8.5	8.5	30.1	7.5	16.1	12	1.7	4.54	2.87	2.7	3.3
RAI	ConsNC	0.99	47.63	7.8	0.3	0.3	-8.2	-1.6	17.3	12	5.11	3.15	2.1	5.3	6.5
ADM	ConsNC	1.05	35.21	-6.5	-17.6	-17.6	18.1	-7.7	19.7	12	1.23	0.26	0.29	2.2	1.9
UNM	Finance	1.12	29.53	9.4	10.8	10.6	-0.9	0	9	12.1	0.94	0.75	0.63	2	1.8
LMT	CapGood	1	122.42	23.1	3.1	3.1	-18.7	2.4	13.7	12.1	56.68	0.85	0.66	3.8	3.5
SCG	Utilities	1.13	48.12	2.4	3.2	3.2	-16.1	-2	14.1	12.1	1.49	1.5	1.08	4.2	5
UTX	CapGood	1.06	100.1	11.7	4.3	5.5	-7.2	0.7	18.2	12.1	3.34	1.46	1.13	2.1	2.5
ISCA	Services	1.37	30.99	14.9	-6.4	-6.4	-15.7	-5.5	24.2	12.1	1.13	2.35	1.94	0.7	0.6
NJR	Utilities	1.06	43.08	8.5	8.4	8.4	-70.4	-5.7	14.3	12.2	2.01	0.59	0.6	3.7	3.4
CMI	CapGood	1.04	123.2	33.2	18.5	18.5	3.5	5.8	16.4	12.2	3.45	1.37	0.94	2	1.5
BMRC	Finance	1.14	39.41	6.5	7	7	13.4	1.3	13.6	12.3	1.35	3.45	2.69	1.8	1.9
AAN	Services	1.17	27.07	8.6	20.4	18.2	18.2	9.8	14.6	12.3	1.69	0.92	0.8	0.3	0.3
ATO	Utilities	1.05	40.35	1.5	1.8	4.3	-51.9	-10.2	16.5	12.3	1.42	0.97	0.58	3.5	4.7
LECO	CapGood	0.98	62.53	9.3	5.6	5.6	6.8	4.6	19.7	12.3	3.74	1.82	1.11	1.3	2
WR	Utilities	1.12	31.11	4.1	3.3	3.3	14.9	5.5	13.1	12.4	1.35	1.7	1.32	4.4	5.3
ED	Utilities	1.07	56.23	0.8	2.3	2.2	29.7	-1.5	15.8	12.4	1.39	1.33	1.07	4.4	5
OZRK	Finance	1	45.38	18.4	18.5	18.5	-45.9	2	20	12.4	3.03	8.25	3.69	1.7	1.8
JCS	Tech	1.77	12.08	8.8	-21.3	-21.3	-44.4	-3	33.6	12.4	1.11	0.91	0.86	5.3	4.7
OKE	Utilities	1.09	51.44	12.7	3.4	4.3	-205.8	-1.3	37	12.4	5.08	0.78	0.43	3	3.9
SCL	BasicM	1.09	56.44	7.1	37	37	63	6.3	16.6	12.6	2.52	0.71	0.4	1.1	1.6
IFF	BasicM	1.07	79.01	8.1	1.7	1.7	-16	4.4	23.5	12.6	4.69	2.23	1.44	2	2.4
SJI	Utilities	1.16	57.76	10.3	7.2	7.1	-37.2	-5.9	25.4	12.7	2.39	2.68	1.57	3.1	3.2
ACN	Services	1.04	72.25	31	14	14	12	6.8	15.1	12.8	8.83	1.56	1.07	2.2	1.9
WGL	Utilities	1.07	41.74	3.1	4.4	4.4	-42.2	-1.7	15.5	12.8	1.6	0.87	0.68	4	4.2
CR	BasicM	1.06	57.41	10.4	39.4	41.3	0.2	-0.3	15.6	12.8	3.27	1.3	0.83	2.1	2.7
CAE	Tech	1.11	10.67	36.6	-3.5	-2.2	-28.9	8.1	17.8	12.8	2.43	1.35	1.46	1.8	1.5
MHFI	Services	0.98	58.37	4.5	-4.2	-12.2	-22.8	-8.1	22.2	12.8	13.09	3.35	2.4	1.9	2.7
GWW	ConsCyc	1.02	247.35	18	14.2	14.2	20.9	6.9	24	12.8	5.45	1.88	1.18	1.5	1.8
CMP	BasicM	0.92	73.73	9.1	1.7	1.7	-28.9	1.9	25.7	12.8	4.85	2.45	2.2	3	2.3
NSC	Transp	1.08	72.16	15.1	7.8	7.8	-16.7	3.2	13.3	12.9	2.22	2.08	2.02	2.9	2.6
LNT	Utilities	1.13	49.61	7.2	-5	-5.3	-49.7	-2.1	15.3	12.9	1.74	1.71	1.18	3.8	4.6
BWP	Utilities	1.04	30.06	4.1	-8	-8	42.6	13	24.2	12.9	1.73	5.83	4.68	7.1	7.9
ITW	ConsCyc	0.99	71.47	8.6	9.9	12.5	-9.9	2.2	13.6	13	3.14	1.9	1.41	2.4	2.9
NWE	Utilities	1.04	40.17	2.9	13	13	-21	-2.3	14	13	1.53	1.4	0.91	3.8	5.1
AROW	Finance	0.99	25.39	3.2	5	5	7.5	-4.3	14.1	13	1.72	4.65	3.46	3.9	4
GPC	ConsCyc	1	77.01	6.3	6.9	6.9	14.2	3.7	17.3	13	3.88	0.89	0.62	2.8	3.8
AXS	Finance	1.12	42.99	7.4	-10.7	-10.7	-1.9	4	8.9	13.1	1	1.22	1.17	2.3	2.9
DE	CapGood	1.02	83.64	14.5	13.8	13.8	-22.1	8.5	9.6	13.1	3.76	0.85	0.94	2.4	2.1
BEN	Finance	1.07	46.16	12.5	4.8	4.8	-23.4	2.7	13.9	13.1	2.99	3.74	3.72	0.8	0.9
XEL	Utilities	1.12	27.92	3.2	6.3	6.2	-1.6	0.2	14.1	13.1	1.49	1.31	1.02	4	4.5
MO	ConsNC	1.05	33.88	-11	6.7	-15.6	-34.4	5.7	15.5	13.1	19.03	2.79	2.1	5.7	6.7
ABC	Health	1.03	56.92	39.1	16.9	17.5	6.9	3.9	22.5	13.1	5.44	0.16	0.11	1.5	1.1
EXLP	Energy	1.2	27.93	7.7	-36	-36	-18	29.2	20.7	13.2	2.31	3.19	2.37	7.5	8.9
NEE	Utilities	1.1	80.36	7.9	6.8	6.8	-34	-1.4	22.1	13.2	2.04	2.37	1.48	3.3	3.7
TJX	Services	1.03	52.72	20.6	24.2	24.5	25.8	7.1	19.4	13.3	9.8	1.41	0.8	1.1	1.4
SJR	Services	1.05	24.09	15.5	12.6	12.6	-50.3	12.5	15.2	13.4	2.89	2.23	2.27	4	4.2
NVE	Utilities	0.98	23.45	32	9	9	19.5	-3.7	17.1	13.4	1.55	1.88	0.98	3.2	3.5
MSM	CapGood	1.1	76	9.3	9.3	9.3	6.5	6.9	19.2	13.4	3.54	1.97	1.8	1.6	1.9
MGEE	Utilities	1.11	52.11	2	4.2	4.2	16.2	0.1	17.1	13.5	2.02	2.11	1.64	3.1	3.9
ROST	Services	1.04	67.26	29.8	29.9	29.9	47.1	10.2	18.3	13.5	7.72	1.46	0.9	1	1.2
AFG	Finance	1.02	51.53	19.4	9.8	9.7	3.6	2.9	9.4	13.6	1.03	0.91	0.65	1.7	2.3
MGRC	Services	0.96	33.08	5.5	1.5	1.5	-3.1	5.4	19.3	13.6	2.16	2.22	1.83	2.9	3.8
JNJ	Health	1.04	86.41	8.2	1.4	1.4	-4	1.9	19.2	13.7	3.49	3.47	2.67	3.1	3.4
SHW	BasicM	1.05	172.4	4.4	4.9	4.9	5.6	3.6	26.6	13.7	9.74	1.81	0.98	1.2	2.1
CHL	Services	1.01	53.97	12.4	8.2	8.2	7.5	9.4	10.3	13.8	1.75	2.22	2.7	4.2	4.3
MMM	CapGood	1.01	113.58	4.2	2.3	2.3	9.5	4.1	17.8	13.8	4.37	2.58	1.99	2.2	2.8
COLM	ConsCyc	0.96	56.59	8.7	-5.9	-5.9	0.4	4.2	18.1	13.8	1.69	1.16	1.05	1.6	1.7
NRP	Energy	1.21	19.61	3.2	11.8	11.8	-11.3	12	10.7	13.9	3.34	5.7	6.72	11.2	8.6
RTN	CapGood	0.96	75.41	14.4	8	-0.7	27.4	2.8	12.8	13.9	2.86	1	0.76	2.9	3
CSX	Transp	1.04	24.61	24.6	13.3	11.7	-17.4	3.2	13.4	13.9	2.61	2.13	1.84	2.4	2.1
DGAS	Utilities	1.2	20.22	3	0.2	0.2	19.7	-6.5	19.3	13.9	1.98	1.72	1.23	3.8	4.8
RHI	Services	1.05	35.27	8.4	-3.6	-3.6	-7.2	-2.4	20.7	13.9	5.58	1.16	0.98	1.8	2.1
NUS	ConsNC	1.07	83.71	13.8	40	40	166.1	13.4	21.1	13.9	7.09	2.09	1.09	1.4	2.1
WAG	Services	0.95	48.07	23.7	3.6	3.6	55.7	5.9	21.2	13.9	2.4	0.64	0.47	2.6	1.9
SWK	ConsCyc	1	85.26	8.1	-6.7	6.1	-17.1	18.5	28	13.9	1.99	1.25	0.97	2.3	2.8
KR	Services	0.99	36.6	12.1	9.8	9.8	20.5	6.6	12.6	14.1	4.1	0.19	0.18	1.6	1.8
WEC	Utilities	1.1	41.04	19.1	10.5	10.5	17.6	0.1	17.2	14.1	2.23	2.13	1.5	3.7	3
UNP	Transp	1.09	153.54	27.3	19	19	49.7	5.1	17.5	14.1	3.48	3.35	2.16	2.1	1.9
D	Utilities	1.01	58.35	7.6	-32.8	-32.9	23	-2.4	104.2	14.1	3.07	2.58	1.72	3.9	4.4
COV	Health	1.1	59.4	42.5	75.5	50.6	-4.6	4.9	16.5	14.2	2.86	2.59	1.9	1.8	1.8
CAG	ConsNC	1.23	33.82	5.7	13.2	-0.3	23.5	6.6	18.3	14.2	2.69	0.92	0.74	3	3.9
FDO	Services	0.89	71.19	5.9	17.2	17.2	-31.2	6.4	19.6	14.2	5.38	0.8	0.65	1.5	1.5
NHI	Services	1.08	54.9	5.7	-0.4	-1.3	-98.6	11	20.3	14.2	3.34	14.28	13.49	5.4	6.5
EMR	Tech	1	60.37	8.8	0.1	0	-2.2	2	29.4	14.2	4.28	1.76	1.51	2.7	3.1
DCM	Services	1.09	16.03	2.4	1	1	-16.5	-1	13.4	14.3	1.2	1.45	1.56	4.2	3.2
CPK	Utilities	1.08	52.21	4.1	9	9	-0.7	8.7	15.6	14.3	1.87	1.19	0.84	2.9	3.8
PAA	Energy	1.15	50.56	5.2	14.4	14.4	-26.1	13.1	18.1	14.3	2.52	0.43	0.28	4.6	7.1
SXT	BasicM	1	41.46	5.1	8.5	8.5	-17.5	4.3	18.2	14.3	1.77	1.4	1.12	2.2	2.6
VAL	BasicM	1.14	62.16	9	16.1	16.1	26.8	4.4	19	14.3	4.9	1.35	0.84	1.5	2.3
NFG	Utilities	1.03	65.28	3.4	1.7	-8.2	-99.4	-4.4	21.1	14.3	2.55	3.02	2.18	2.3	2.8
MLAB	Tech	0.85	65.06	8.4	11.5	11.5	19.3	18.8	28.7	14.3	4.05	4.69	2.97	0.9	1.7
ETE	Utilities	1.16	64.33	35.5	30.3	22.5	-32.3	48.5	48	14.3	12.18	0.49	0.88	4.1	7.2
AVA	Utilities	1.07	26.27	14.3	12.6	12.6	-33.5	1.8	17.6	14.4	1.22	0.99	0.76	4.6	4.4
MMP	Energy	1.1	54.26	6.9	19.7	19.7	21.1	6.1	26.1	14.4	7.91	7.22	3.05	3.9	6.5
NNN	Services	1.16	30.63	2.2	-1.2	-12.7	10	13.1	28.4	14.4	1.62	9.97	7.72	5.3	7
NU	Utilities	1.13	40.97	11.2	3.6	3.6	17.1	1.5	16.6	14.6	1.37	1.8	1.07	3.6	3.6
ADI	Tech	1.02	46.28	10.4	7.1	7.2	-4.2	1.8	22.1	14.6	3.08	5.4	3.58	2.9	2.9
WM	Services	1.06	40.44	8.1	-4.8	-4.8	-28	0.5	22.2	14.6	2.91	1.38	1.19	3.6	3.9
ADP	Services	1	71.16	9.1	5	4.2	-11.1	5.3	25.4	14.7	5.55	3.04	2.17	2.4	3.4
WPC	Services	1.14	65.73	2.6	0.6	-9	21.6	7.7	52.6	14.7	2.3	9.58	4.64	5.1	6.8
WRB	Finance	1.06	41.12	11.8	-1.7	-1.7	-14.8	0.8	11.6	14.8	1.32	0.92	0.86	1	1
ALB	BasicM	1.06	62.37	13.8	7.7	7.7	7	3.3	17.6	14.8	3.87	2	1.56	1.5	1.4
KMB	ConsNC	1.04	93.48	0.9	1.5	1.5	18.3	2.9	19.9	14.8	8.22	1.7	1.31	3.5	3.9
APD	BasicM	0.96	102.14	11.1	0	2.9	-27.8	1	21.9	14.8	3.27	2.1	1.76	2.8	2.6
LOW	Services	1.03	45.82	15.7	-2.2	-2.2	95.6	0.9	23.1	14.8	3.74	0.94	0.64	1.6	1.9
ARG	BasicM	1.04	101.65	32.6	10.2	10.2	-15.2	4.3	23.4	14.8	4.61	1.49	1.05	1.9	1.7
ATR	BasicM	1.02	58.81	12	3.8	3.5	-3.2	4.3	24	14.8	2.77	1.61	1.28	1.7	1.7
ACE	Finance	1.09	87.72	14.2	0.7	0.7	-6.7	4.9	9.3	14.9	1.1	1.59	1.23	2.3	2.4
TGT	Services	1.08	63.31	20.6	6.3	6.3	33.2	3	15.3	14.9	2.51	0.55	0.51	2.7	1.9
CVS	Services	1.14	58.05	23.2	9.2	9.1	29.8	10.1	17.2	14.9	1.83	0.58	0.48	1.6	1.1
AHGP	Energy	1	61.44	21.5	17.4	17.4	-21.8	14.5	17.3	14.9	7.95	1.7	1.29	5.1	6
SLGN	BasicM	1.04	47.18	8.4	5.3	5.3	16.6	4.2	16.5	15	5.49	0.82	0.72	1.2	1.3
MCD	Services	1.08	94.36	13.9	22.5	21.8	0.8	3.9	17.3	15	6.23	3.4	3.06	3.3	3.1
EPB	Utilities	1.07	41.73	77.4	112.2	81.2	15.5	29.4	19.4	15	4.47	6.02	3.11	6	6.1
GGG	CapGood	0.95	69.49	6.5	1	1	5.3	3.8	22.9	15	7.61	4	2.61	1.4	2.4
SEP	Utilities	1.04	41.68	45.1	20	20	-20	14.4	25.9	15	2.41	19.31	12.06	4.9	6.2
UBSI	Finance	1.01	27.77	1.9	-5.4	-5.4	10.1	-5.9	16.5	15.1	1.39	4.47	3.43	4.5	4.6
NDSN	CapGood	0.98	66.65	8.4	20.9	20.9	25.8	7.2	18.8	15.1	5.41	2.72	2.14	1.1	1.2
SJM	ConsNC	1.08	106.14	11.3	10.7	10.7	42.2	18.5	20.5	15.1	2.2	1.9	1.33	2.2	2.8
CASY	Services	1.02	65.94	21.9	11.5	11.5	-22	8.4	23.1	15.2	4.2	0.35	0.27	1.1	1.3
CAH	Health	1.03	50.28	17.8	-16.2	-23	0.6	3	52.4	15.4	2.87	0.17	0.12	2.4	2.3
POR	Utilities	1.15	28.81	2.9	-4.2	-4.2	20.5	0.7	23.4	15.5	1.24	1.22	0.88	3.8	4.8
CMLP	Utilities	1.16	25.94	34	0	1.7	35.9	43.1	117.9	15.5	1.94	6.09	5.09	7.9	7.9
SO	Utilities	1.1	41.62	4	3.3	3.3	-1	1.5	21	15.6	2.02	2.15	1.85	4.9	4.8
OHI	Services	1.05	28.4	9.4	4.9	4.5	-44.2	17	21.2	15.6	2.9	8.54	6.65	6.6	7.7
BMS	BasicM	1.03	39.79	3.5	-0.5	-0.5	5.5	7.1	21.9	15.6	2.57	0.81	0.66	2.6	3.3
RGA	Finance	1.13	64.81	18.5	11.5	12.5	9	11.5	9.6	15.7	0.8	0.45	0.44	1.9	1.1
VMI	CapGood	1.15	134.96	15.8	19	19	12	15.1	12.5	15.7	2.49	1.11	0.99	0.7	0.7
TMP	Finance	1.05	43.4	5.3	-0.2	-0.2	8.4	3.7	16.8	15.7	1.45	3.44	3.08	3.5	3.3
STR	Energy	1.17	21.92	6.5	-16.5	-16.5	43.1	-16.6	18.4	15.7	3.49	3.32	2.43	3.3	3.6
SYY	Services	1	32.02	5.5	-1.7	-1.7	-8.3	3.4	19.2	15.7	3.66	0.43	0.41	3.5	3.7
ARLP	Energy	1.03	75.28	13.6	10.1	10.1	-63.1	14.5	11.3	15.8	3.59	1.29	1.21	6.1	6.6
HAS	ConsCyc	0.97	45.58	9.8	3.9	3.9	-9.2	1.3	18.6	15.8	4.08	1.46	1.16	3.5	2.8
VVC	Utilities	1.12	32.6	2	0.5	0.5	8	-0.4	21.3	15.8	1.77	1.12	0.93	4.4	5.3
ALTR	Tech	0.99	35.17	24.6	15.7	15.7	17.2	7.1	22.7	15.8	3.27	6.38	5.19	1.7	0.9
SYT	BasicM	0.98	78.38	23.3	12.1	12.1	-16.1	9	20.4	15.9	3.99	2.52	2.06	2.6	2.3
CASS	Services	0.7	52.48	11.6	5	5	7.6	-1.4	25.6	15.9	3.43	13.54	7.09	1.4	1.7
WMT	Services	1.08	72.98	12.6	9.8	10	33	4.5	14.3	16	3.34	0.51	0.47	2.6	2.3
STE	Health	1.14	40.89	26.3	17.6	17.6	8.1	3.5	14.9	16	2.49	1.57	1.36	2.1	3.2
RKT	BasicM	1.15	111.11	15.5	10.5	10.5	-13.2	31.8	12.8	16.1	2.03	0.85	0.52	1.1	1.2
RLI	Finance	0.93	78.09	7.7	-8.2	-8.2	-26.6	0.3	16	16.1	2.02	2.47	2.13	1.7	1.9
YUM	Services	1.08	70.02	22.5	14.7	14.7	6.2	5.5	23	16.1	14.29	2.42	1.73	1.9	2.2
GIS	ConsNC	1.06	49.32	11.1	8.1	8.1	17.2	5.4	17.7	16.2	4.78	1.8	1.44	3.1	3.1
TXN	Tech	0.97	38.2	19.1	-3.8	-4	-4.3	-1.5	21.2	16.2	3.81	3.43	2.51	2.9	2
HRL	ConsNC	1.02	41.43	14.9	11.6	11.6	14.1	5.9	22.3	16.2	3.59	1.27	0.82	1.6	2
XLNX	Tech	1	43.42	12.9	8.3	8.3	1.9	3.3	23.2	16.2	3.71	5.3	3.4	2.3	2.6
SHLM	BasicM	0.93	26.96	4.4	10.9	16.4	16.3	3.3	17.6	16.3	1.52	0.37	0.32	2.9	3.1
WST	Health	1	73.95	6.5	1.7	1.9	27.5	4.4	26.5	16.3	3.27	1.96	1.19	1.1	1.6
MCK	Health	1.03	121.41	27.2	10.8	10.8	39.5	3.8	20.9	16.4	3.72	0.22	0.14	0.8	1
MSFT	Tech	1.05	33.4	15.9	6.6	6.6	5.9	5.2	12.9	16.5	3.53	3.58	3.37	2.8	2.5
PPG	BasicM	1.04	156.21	2.8	3.3	3.9	24.5	4.5	20.9	16.5	4.44	1.5	0.8	1.6	3.3
ANDE	ConsNC	0.96	65.66	22.2	2.1	2.1	20.7	17.2	16.7	16.6	1.93	0.22	0.16	1	1.2
CFR	Finance	0.99	70.84	4.3	1.5	1.5	12.6	-3.9	18.9	16.6	1.86	6.68	5.11	2.8	3.3
K	ConsNC	1.06	60.71	7.7	-0.8	-0.8	3.9	3.8	22.9	16.6	8.64	1.49	1.43	3	3.1
LG	Utilities	1.1	44.53	2.6	5.6	3.8	-14	-9.5	16.6	16.7	1.08	1.12	0.53	3.8	4.1
CLX	ConsNC	1.04	82.7	9.1	6	5.9	-4.7	1.3	19.1	16.9	74.5	1.93	1.59	3.4	3.6
DUK	Utilities	1.1	65.6	3.3	-3.6	-2.9	-7.9	9.1	23.4	16.9	1.15	1.91	1.68	4.8	5.4
MNRO	ConsCyc	1.17	44.27	21.1	13.6	13.6	27.1	10.7	32.6	17	3.66	1.8	1.28	1	1.1
DGICA	Finance	1.07	13.48	6.4	-10	-10	-7	8.6	15.9	17.1	0.94	0.68	0.88	3.8	3.2
CBU	Finance	0.96	33.24	5.3	6.4	6.4	19	1.9	17	17.1	1.56	4.82	3.16	3.4	4
