See <http://betterwriting.net/projects/fed01/>

The following are data used in an analysis of _The Federalist_ papers by Alexander Hamilton and James Madison (published as series from 1787-1788).  The source of the texts was <http://lcweb2.loc.gov/const/fed/fedpaper.txt> 

The data were generated from the texts using tagging and visualization software, Docuscope. 

The first row is the variable names. The author of each paper is in 'Group' variable with 1=Hamilton, 2=Madison, 3=disputed authorship. See the top link for further explanation of the variables.

The dataset may be freely used and distributed for non-commercial purposes.

Jeff Collins <jeff.collins@acm.org> 31 Oct 2002

TextNumber	TextName	Group	FirstPerson	InnerThinking	ThinkPositive	ThinkNegative	ThinkingAhead	ThinkingBack	WordPicture	SpaceInterval	Motion	PastEvents	ShiftingEvts	TimeInterval	CueComKnow	CuePriorText	CueReader	CueNotifier	CueMovement	CueReasoning
58	ORfed_58.txt	3	0.17	2.41	1.52	1.77	1.98	0.55	1.27	0.55	0.21	1.14	0.59	0.55	1.48	4.81	0.34	6.33	0.08	0.84
59	Hfed_59.txt	1	0.09	2.98	1.97	2.34	1.01	0.78	1.28	0.32	0.09	0.82	0.14	0.64	2.29	4.85	0.23	7.65	0.05	0.78
60	Hfed_60.txt	1	0.16	2.54	1.79	2.15	1.64	0.23	1.64	0.47	0.08	1.21	0.23	0.47	1.01	4.8	1.21	6.12	0	0.9
61	Hfed_61.txt	1	0.4	2.42	1.09	1.73	1.56	0.52	1.15	0.4	0.06	1.21	0.63	0.81	2.19	4.49	0.63	6.51	0	0.29
62	ORfed_62.txt	3	0.15	2.85	2.11	2.14	0.78	0.22	1.55	0.33	0	1.52	0.37	0.26	1.92	4.99	0.37	6.98	0.04	0.67
63	ORfed_63.txt	3	0.2	2.53	1.25	2.12	0.93	0.29	2.53	0.2	0.15	1.51	0.64	0.7	2.12	4.66	0.44	6.69	0.06	0.58
65	Hfed_65.txt	1	0.04	3.15	1.27	2.71	1.36	0.39	1.4	0.13	0	1.14	0.18	0.92	1.75	5.08	1.01	5.78	0	0.44
66	Hfed_66.txt	1	0.23	2.7	2.08	2.32	0.93	0.58	0.85	0.69	0.04	1	0.19	0.5	2.12	4.98	0.58	6.45	0	0.93
67	Hfed_67.txt	1	0.26	2.92	1.15	2.4	1.09	1.09	1.46	0.42	0.1	1.04	0.68	0.68	1.72	4.64	0.31	5.26	0	0.83
68	Hfed_68.txt	1	0.06	1.98	2.8	1.75	1.69	0.47	1.92	0.29	0.17	0.93	0.35	0.7	1.69	5.24	0.17	5.94	0	0.76
69	Hfed_69.txt	1	0.15	2.08	1.52	1.23	0.88	0.44	1.35	0.12	0.18	0.79	0.21	0.64	1.67	4.51	0.47	7.32	0	0.62
70	Hfed_70.txt	1	0.2	1.98	1.58	2.8	0.82	0.48	1.75	0.23	0.06	1.02	0.45	0.79	1.81	5.22	0.42	6.5	0	0.79
71	Hfed_71.txt	1	0.05	2.25	1.85	2.35	1.3	0.5	2	0.5	0.2	0.8	0.5	0.95	1.8	6.95	0.35	7.65	0	0.55
72	Hfed_72.txt	1	0.04	2.07	2.67	2.16	1.64	0.47	1.51	0.69	0.13	0.86	0.6	1.08	1.38	6.77	0.65	6.08	0	0.43
73	Hfed_73.txt	1	0.07	2.46	1.71	2.94	1.82	0.6	0.78	0.15	0.22	1.15	0.22	0.82	2.16	6.59	0.33	6.81	0.04	0.41
74	Hfed_74.txt	1	0.17	2.36	1.26	3.04	0.76	0.42	1.43	0.08	0.17	1.01	0.34	1.52	2.02	3.96	0.08	6.32	0	1.01
75	Hfed_75.txt	1	0.32	2.51	2.32	1.5	1.18	0.55	1.18	0.32	0.09	0.87	0.14	0.96	2.51	4.01	0.18	6.97	0	0.59
76	Hfed_76.txt	1	0.11	2.09	2.02	1.48	2.02	0.53	1.52	0.46	0.11	1.56	0.23	1.1	2.09	4.41	0.38	6.05	0	1.03
77	Hfed_77.txt	1	0.22	2.41	2.01	2.32	1.47	0.85	1.39	0.18	0.04	0.89	0.22	0.85	1.7	4.42	0.71	6.88	0	0.63
78	Hfed_78.txt	1	0.09	3.36	1.84	1.67	1.09	0.37	1.27	0.4	0.2	1.04	0.26	0.69	2.3	5.49	0.17	7.56	0	0.72
79	Hfed_79.txt	1	0.08	3.52	1.17	1.51	1.26	0.76	1.17	0.76	0	1.34	0.34	0.92	1.59	4.87	0.5	5.79	0	0.67
80	Hfed_80.txt	1	0.04	2.46	1.21	1.5	1.07	0.29	0.71	0.39	0.18	1.14	0.39	0.29	1.93	5.32	0.39	5.78	0	1.11
81	Hfed_81.txt	1	0.22	2.71	0.92	1.44	1.01	0.52	0.74	0.22	0.07	1.03	0.16	0.61	1.66	4.76	0.47	7.02	0	1.08
82	Hfed_82.txt	1	0.45	3.15	0.84	0.67	0.9	0.17	0.84	0.22	0.34	1.29	0.39	0.28	1.74	4.72	0.56	7.25	0	0.67
83	Hfed_83.txt	1	0.29	2.75	1.46	1.69	1.12	0.71	0.8	0.21	0.06	1.17	0.18	0.41	1.78	4.99	0.37	7.11	0.03	1.27
84	Hfed_84.txt	1	0.27	2.9	1.02	1.42	1.21	0.4	1.19	0.42	0.4	1.29	0.29	0.33	1.71	5.01	0.63	6.18	0	0.75
85	Hfed_85.txt	1	0.93	2.96	1.93	2.03	0.77	0.39	1.32	0.13	0.19	1.16	0.42	0.68	1.54	4.37	0.77	6.72	0	0.8
